#{"t_start": 1761551239.1125705, "env_id": "None"}
r,l,t
-255.422983,1660,2.193973
-549.695898,2700,4.252096
-215.926737,1128,5.426876
-113.989105,1157,6.537707
-311.842153,1115,7.642716
-12.007472,340,8.32676
-256.036712,1125,12.453025
-260.138689,1253,13.824524
-192.880201,2700,16.675426
-234.27129,967,18.567812
-439.580812,2414,30.15971
-32.545222,414,31.475669
-230.532805,1223,33.664158
-241.298765,769,35.272254
-492.492243,2275,38.894045
-270.730891,1835,41.975317
-7.948945,414,43.136812
-178.400696,1515,53.14717
-362.329213,1451,55.676404
-260.345247,1097,57.819149
159.956203,414,59.016052
-428.630104,2700,62.37311
-242.112373,982,63.383961
8.340231,340,64.030965
-284.645005,2155,68.053776
43.107659,340,68.709957
-232.130025,1884,70.221304
-427.195401,2700,72.171823
-195.552568,1453,75.678128
126.795721,340,76.355144
-330.499688,1393,77.562129
-426.680293,1788,78.999624
-212.917876,983,79.978451
-235.644904,1315,81.167604
-314.304817,1718,82.553701
-405.721319,2138,86.544193
-263.156902,1312,87.725603
-238.785665,1788,89.134424
-384.901478,2534,90.962142
-291.684285,1086,94.412274
-4.235155,340,95.048483
-338.504275,1264,96.23021
-390.832842,1813,97.72249
16.926335,414,98.410053
-365.485875,2084,100.091491
-83.365033,1228,101.34862
-249.701845,949,105.379163
-287.310752,1826,106.877727
-389.534942,1370,108.535068
-203.406269,597,109.434578
-207.094922,1120,110.617641
-220.2326,1571,112.06314
-255.83535,965,113.122282
-71.502664,1171,116.983032
-379.049387,2332,118.826723
10.164155,340,119.467952
40.036684,340,120.109686
-285.10636,1287,121.297664
-130.540129,1225,122.447953
-225.809344,1212,123.665591
-333.673284,876,127.313197
-353.858688,1599,128.765727
-192.525027,663,129.633642
-217.204253,2700,131.586749
-249.458292,677,132.427025
49.512938,340,133.063977
-170.847673,958,134.061452
-283.462776,2700,138.361329
-253.72945,830,139.274929
-392.719056,2376,141.127189
-230.188666,1313,142.313818
-418.100208,1352,143.608851
-294.784122,1001,146.921472
-217.108216,2356,148.747807
-225.835014,1597,150.05866
-376.110777,1435,151.2895
-267.095264,623,152.103856
-265.841352,1352,153.328698
74.0,340,156.29126
-232.161975,2700,158.229337
-297.854783,1525,159.502864
0.426241,2214,161.193047
-271.256969,1559,164.813796
-269.803561,1481,166.136376
48.71248,414,166.814769
-152.017899,1369,168.043136
16.745052,414,168.729282
-200.704273,1055,169.781254
-416.650366,2137,171.450386
-274.786774,1191,174.881222
-252.700227,1076,175.924982
74.0,340,176.56937
-294.471958,2700,178.55523
-209.272285,617,179.409138
-391.672577,2241,181.10018
-159.714186,882,182.052762
-278.598761,1381,185.598577
-389.612025,1977,187.182853
-201.698858,973,188.190244
-192.794091,985,189.217241
98.03862,340,189.85732
-211.175152,2106,191.489152
-364.463334,994,194.85995
-227.315945,894,195.810896
-305.371786,2120,197.430665
-238.976949,1592,198.785163
-240.876111,725,199.650119
40.848463,340,200.279523
-314.081606,2199,204.282639
8.43729,340,204.925426
-380.225843,1887,206.483776
-179.113237,1838,207.959645
-177.955304,1033,209.00754
-189.129916,1304,210.176834
-183.472649,1420,211.410092
-580.208502,1942,215.898182
-261.92932,952,216.893796
30.283753,414,217.617422
-242.607107,783,218.524337
-305.704498,2276,220.295338
-153.141688,981,221.349523
-179.364816,1644,225.438306
-184.603381,1103,226.839113
-332.863242,1738,228.832386
22.177629,340,229.520403
-324.332117,1132,230.628402
-213.214643,1376,231.911933
-166.145314,899,232.949723
-241.627156,1912,237.909707
74.0,340,238.566754
12.19779,447,239.256574
2.332501,441,239.978705
-250.700636,2144,241.831715
31.229024,340,242.502126
-346.559257,1845,244.020065
-292.499671,1518,248.79919
-188.745776,2184,250.997134
94.696724,426,252.112861
-5.779397,340,253.165498
-163.261431,1071,255.215122
-264.519325,899,257.085319
44.027288,411,258.295552
-178.027754,1297,260.641011
-298.518471,1239,262.80085
-311.120784,1331,272.330894
-272.461588,904,274.235868
-232.141063,1056,276.259667
-146.068859,1524,278.841535
-201.467936,1202,281.065413
-267.503934,2700,293.516624
-248.632899,2700,297.575283
25.61034,340,298.736491
-317.509102,2524,302.686877
-218.984423,1222,304.972425
-276.622569,2178,317.630936
-225.772175,955,319.599592
-156.976779,781,321.236953
-352.927377,1690,324.127104
-243.328824,935,326.052147
-329.40348,1751,328.952302
20.600029,340,330.001641
-181.444424,1983,341.792198
-304.195669,1408,344.303652
-360.392645,1798,347.418154
-220.279201,2409,351.346736
-320.897382,1852,361.451029
-289.827885,2700,365.760523
-18.129507,422,366.896513
-284.725308,1358,369.5425
-19.389999,419,370.666682
-400.946579,1526,373.290468
-202.651329,1235,383.795244
-122.74,1478,386.281647
-0.569601,414,387.536725
-131.641695,1068,389.571006
-137.359861,1409,392.050532
-319.341196,1372,394.627804
-283.177696,1211,396.826021
-118.525503,1685,406.580747
-126.121937,2700,410.837068
-220.076211,885,412.615422
-208.535709,1163,414.920482
42.21229,340,415.995723
-4.96743,340,417.036675
-229.730812,878,418.8569
-394.088537,1649,430.765075
-266.146197,2700,435.025985
-181.177708,828,436.739072
-184.595298,1887,440.042471
-328.66069,1648,452.41581
-183.734041,2700,456.860969
-293.062777,1531,459.544997
-310.257704,1991,462.750381
-288.217651,2262,474.897217
-176.45453,1483,477.520303
2.202994,414,478.675375
-363.276279,1612,481.54681
-226.773694,649,483.023584
-235.398646,876,484.772378
-359.910912,2190,488.222689
-300.399831,1486,499.656949
92.802033,414,500.796587
-294.434322,1900,503.890811
-83.161476,1946,507.152375
-187.717822,1099,509.178839
-164.371394,659,510.711618
-282.600091,1131,520.544756
-204.182202,1774,523.557056
-272.753409,1541,526.262146
-335.858504,2398,530.089789
-251.934267,1205,532.27521
-401.127484,1871,542.682276
-272.26402,1750,545.810835
-204.417061,1414,548.260747
-351.286784,2700,552.408092
95.834629,340,553.454702
-409.745442,2321,565.870884
-309.788067,1376,568.26767
-326.759972,1752,571.185486
-217.161134,1355,573.59937
-175.02155,945,575.480252
-239.50159,2019,586.705096
-255.25401,1190,588.896764
-151.145789,2700,593.219501
-158.290017,2700,597.542661
-97.523772,1312,608.57218
-230.280972,2700,612.84966
-215.524885,838,614.596791
-266.175171,1243,616.967715
40.993141,414,618.130141
-298.612067,1651,620.898104
-217.635985,1758,631.405088
31.913121,340,632.455601
73.127664,340,633.546775
-293.103783,1911,636.709312
-329.058416,2131,640.276643
-230.199236,1249,642.479461
-305.797765,1703,654.323768
56.75807,439,655.451625
-226.422773,1195,657.559488
-185.564562,1442,660.067334
-214.73048,2700,664.419424
-407.846546,2554,675.109531
-332.756731,1936,678.485508
60.02874,340,679.560654
-263.42242,1770,682.623096
-98.641241,1072,684.581791
-220.404159,1439,687.055923
-73.618565,2665,698.967074
-237.733183,2700,703.250161
-29.575962,340,704.320016
-233.579076,1600,707.172424
-162.956354,2260,719.040184
-70.638957,414,720.171526
-305.991205,2700,724.466744
77.075488,340,725.536915
-393.270459,2055,728.895002
-288.808507,2122,740.993902
-0.173533,414,742.337434
-436.564389,2058,745.786852
-261.963739,1872,748.965293
-224.117084,2123,752.512283
-81.36871,2700,765.076241
-452.022566,2142,769.69191
-270.047065,1512,776.914329
-519.941839,2439,781.230507
-297.730239,2118,790.340981
-297.955773,2700,794.567872
-193.490143,978,796.538539
-226.300331,1962,799.709629
-385.978375,2183,810.040791
29.130624,414,811.30166
-208.107708,644,812.722089
-286.59676,1145,814.807613
-255.45562,1701,817.653584
-309.507573,1024,819.660958
-202.921505,519,820.956817
-30.460387,340,822.007325
-360.086916,1682,831.965432
-274.531216,1510,834.580961
-233.162378,2700,841.558039
-359.242371,2700,849.026882
-505.017754,2700,859.866466
-153.564697,1388,862.190698
-226.363157,1951,865.710793
-203.715967,1813,868.686974
-239.437656,1404,878.348378
-329.455615,1617,881.063854
-202.280988,1742,884.239977
-425.014102,2214,887.798635
-389.848685,1484,890.490571
-257.083839,950,901.405242
29.171253,425,902.681901
-226.671083,1408,905.25778
-180.278817,771,906.949412
-23.628708,417,908.116668
7.239026,406,909.342419
68.068809,340,910.385108
-9.139072,414,911.522193
-331.775601,1417,914.122326
-205.050492,1238,916.501556
-70.693878,414,917.653979
-440.544575,2046,928.883818
-76.697914,1341,931.256656
-156.431192,880,933.086151
-181.549274,1007,935.095279
-390.400481,2700,939.27684
-263.823691,1207,950.157555
-212.343829,1249,952.440998
-149.915385,1673,955.332189
-419.305389,2130,958.695424
-345.598882,1902,962.00089
-368.570375,2455,974.169084
-164.544282,2685,978.29021
-348.069804,2346,981.960005
-233.306725,2052,993.676477
-193.930044,858,995.445383
-283.943617,1887,998.514296
-323.135236,1327,1000.84221
-427.25719,1886,1004.056372
-279.467713,1300,1006.333146
-204.676905,1365,1017.783855
58.779891,340,1018.843876
-284.18623,1348,1021.467025
-3.765499,340,1022.57373
-153.427765,1137,1024.715447
-196.729494,1284,1027.003683
91.789153,340,1028.190798
-181.413732,1563,1030.811588
-241.474713,1000,1040.680243
74.0,340,1041.743028
-75.56002,1669,1044.777185
-3.713463,414,1046.013106
-451.770798,2076,1049.376048
-255.140762,1727,1052.322982
-254.076309,1542,1062.089009
-251.628415,916,1063.946023
-379.796166,2700,1068.215074
-69.290191,1856,1071.412184
-156.478646,658,1072.921242
-198.383951,824,1074.601496
-327.605306,2383,1086.481269
-299.965295,1918,1089.782189
57.267381,422,1091.008314
54.468708,472,1092.228343
-324.820189,1728,1095.145895
-400.035599,2261,1106.498915
-201.639635,1317,1108.823249
-265.641477,2201,1112.348453
-388.307213,2379,1116.192984
-5.590125,414,1117.417662
-206.104882,551,1118.925423
-126.126971,870,1120.743658
-198.633856,742,1129.219875
-192.519748,1367,1131.792155
-169.11004,746,1133.416879
-195.390587,1120,1135.546782
-309.770553,2119,1138.941426
69.310627,340,1139.980825
-17.145583,340,1141.032562
-218.415829,1759,1151.647471
-255.132024,1797,1154.647254
-214.423562,1410,1157.080627
-238.853377,1370,1159.603817
-204.961991,1277,1161.926736
-232.619695,1001,1163.899813
25.120135,340,1164.952273
-264.365507,2198,1175.5307
-197.332091,1801,1178.644993
-297.287946,2431,1182.390674
-0.574824,414,1183.617382
-440.2216,2586,1196.553438
-320.711445,1430,1199.034364
-223.653114,1236,1201.368411
-274.653477,1071,1203.349192
-226.485866,1038,1205.298793
-234.488662,929,1207.125295
-289.312103,1725,1210.219665
-378.823608,1765,1223.327765
-228.113197,2424,1227.212018
-223.839987,933,1229.059391
-292.245846,1306,1231.439251
-17.184631,340,1232.49773
28.352796,413,1233.636844
-337.289775,2010,1244.205679
-363.605486,1849,1247.4622
-485.379127,1816,1250.582469
3.876452,340,1251.667678
-273.256494,1322,1254.174844
74.0,414,1255.419015
-115.352889,2700,1266.360695
-424.75169,2050,1269.682215
-257.946719,1299,1272.157414
-181.195065,1499,1274.746682
-176.443959,2365,1287.522274
-235.618178,1326,1289.913366
-202.252365,1912,1293.136268
-279.339362,1785,1296.022366
-185.331388,1440,1298.665542
-244.393106,1576,1308.796622
-276.463759,2566,1312.84038
27.924599,414,1314.043764
-385.340679,1762,1316.977036
19.245136,414,1318.130723
-257.438699,1219,1320.39757
-333.799555,2029,1331.487385
74.0,340,1332.526375
-153.81529,1782,1335.511971
-164.679495,1583,1338.095238
-256.16202,1571,1340.876448
-292.70747,1297,1343.20911
0.513658,340,1344.25627
14.47137,425,1354.184918
-193.158485,860,1356.029527
-422.543158,2646,1360.267376
-70.337477,2537,1364.349197
13.286133,420,1365.656105
-197.73404,1452,1368.175757
-281.55032,1240,1378.326846
-248.483259,2700,1382.647073
-265.74854,2700,1386.860152
-303.093949,985,1388.779502
-227.618063,1550,1400.069886
-223.365784,2700,1404.563463
-179.267026,2503,1408.567849
-158.112258,1073,1410.626436
43.369425,414,1411.744021
-142.97406,1564,1422.767355
-212.752712,1474,1425.400625
-156.315797,997,1427.367777
-16.425576,414,1428.617847
-248.146312,1183,1430.819284
-176.452831,1461,1433.383697
-211.306982,1067,1435.539363
-21.690138,414,1436.677397
-145.35442,1401,1447.12698
-237.185439,1177,1449.224023
59.128105,340,1450.286428
-31.741834,414,1451.41592
-319.733244,2163,1454.960312
-7.112466,340,1456.040406
-280.302883,1753,1459.05934
-194.33227,1375,1469.947747
-424.064326,2418,1473.806156
-154.191108,593,1475.250416
-191.038772,1435,1477.713753
-420.705494,1952,1481.046825
-245.647312,867,1482.783702
-489.142079,1928,1494.662369
-46.820172,2700,1498.940827
-164.942003,1397,1501.397313
-289.301309,1009,1503.393808
54.180957,474,1504.636652
65.00888,340,1505.706529
-199.407067,1016,1516.506628
-265.410188,1801,1519.459404
-269.155052,2700,1523.739187
-413.554564,2700,1527.867699
-173.726604,2700,1541.88848
-231.601145,1885,1544.948874
-258.447271,2544,1549.243803
-184.897569,2451,1561.104312
-185.111911,924,1562.835002
-276.894156,1259,1565.218609
-166.721775,1480,1567.759151
-260.37143,1631,1570.516606
-239.632409,1846,1582.706993
120.967744,340,1583.727808
-287.963247,1596,1586.564904
-48.025986,1806,1589.600795
-188.457017,2272,1593.343821
-249.856627,1612,1596.096855
-222.224581,1084,1606.329236
-11.670019,340,1607.403608
39.372882,340,1608.47947
-204.675779,1587,1611.294483
-158.468564,1489,1613.839062
-299.814546,1114,1615.922456
-286.45825,1745,1618.936674
-97.171069,907,1629.727221
-198.477992,1059,1631.780741
-206.969154,2700,1636.082625
-230.897884,1696,1639.036961
-265.377387,1369,1641.435494
-236.918318,820,1643.269223
-27.156962,426,1652.873575
-230.320264,825,1654.602141
-217.970766,805,1656.348869
-424.536273,1802,1659.321971
19.878955,340,1660.304706
-235.75245,1036,1662.451178
-284.799114,1555,1665.310786
-463.319649,2412,1676.997005
-211.82513,2700,1681.355021
-254.598131,753,1682.977165
-222.818658,1206,1685.216693
-138.000826,1000,1687.163874
-255.772954,2111,1698.516415
-299.457186,1221,1700.794677
-319.457441,1576,1703.477668
-260.996549,910,1705.391039
-238.036289,813,1707.114506
-204.932308,1537,1709.736873
