#{"t_start": 1761629057.7123, "env_id": "None"}
r,l,t
-5814.745339,1828,1.028345
-458.938406,414,1.682045
-4316.906028,1085,2.230603
-226.842353,340,2.483593
-4701.152341,1436,3.212478
-1274.578202,414,3.473834
-6421.399202,1877,4.325414
-4621.206119,1412,5.133667
-1404.480622,414,5.400585
250.875117,414,5.652239
-62.894079,340,5.898664
-57.012045,340,6.378046
-32.163717,340,6.637991
-4796.552041,1451,7.132785
-5939.763799,1212,7.829797
-3796.756593,759,8.178684
-1685.84752,1721,8.985435
-4562.239889,1569,9.822067
-3768.748927,870,10.264136
-3974.314656,1174,10.993494
-8919.381663,2594,12.016216
-5613.826603,2317,12.979649
-3843.046245,770,13.585937
-7390.11247,1977,14.475371
-6118.770646,2067,15.381082
-3790.347208,1370,15.867894
-4336.697943,1177,16.626717
-6030.848228,1818,17.49712
-1000.443408,424,17.764366
-3876.611561,1062,18.442251
-153.910162,340,18.714538
-938.286493,340,18.951061
-4358.783262,817,19.373633
-7027.130356,2700,20.71462
-4668.677496,1387,21.216522
-4058.709478,1032,22.111487
-4388.342836,1179,22.614256
284.955036,409,23.14714
-4221.066017,1861,23.776655
44.489424,426,24.309888
-822.514565,422,24.577398
-5173.605897,1401,25.316479
-4367.972221,1366,25.809423
-1231.243878,414,26.07506
282.780392,414,26.593523
208.380757,414,26.874514
-733.31189,2112,27.847836
-3882.696984,1965,28.770212
497.921588,1640,29.705603
-1458.84926,414,30.038151
-4231.084933,1364,30.954009
-3341.789054,1736,31.706346
-1200.941688,413,32.441149
-117.618709,340,32.706416
-4528.330596,1349,33.255365
-104.814215,340,33.803364
-2440.171562,1891,34.59566
-47.45373,340,35.156068
-2602.106454,1104,35.828382
157.370613,414,36.09419
-3424.201493,1624,37.018765
-1147.163907,417,37.287611
-3706.635625,1091,38.148515
-2974.908911,1231,39.084146
-853.403879,340,39.393985
-3292.025711,1147,39.95973
-295.72926,340,40.224614
-4661.52902,1851,41.223769
-1191.617538,340,41.481646
83.651193,340,42.013663
-3101.813721,896,42.500076
-1203.3195,414,42.783976
-4605.657118,1323,43.646651
-849.454352,836,44.093363
-1273.681185,415,44.614339
-1830.258959,1090,45.236245
418.341696,413,45.53526
-745.129607,340,46.013155
-1095.965401,340,47.000055
-1548.716433,414,47.288659
-3044.403461,1790,48.335866
-57.081583,340,48.593383
-1327.681714,340,48.855334
45.960411,340,49.097392
-1043.663724,340,49.351076
-1432.227775,340,49.867573
-980.301704,340,50.145014
-5054.087953,1549,50.653491
-1848.957254,1229,51.388825
-4.151469,340,51.627086
-3099.001663,599,52.251729
-2756.078754,2396,53.258977
-3005.1771,1126,53.831542
-3679.550169,673,54.494658
-1196.572621,414,54.799525
-2759.476841,1028,55.29369
228.592959,414,55.629349
751.852605,442,56.224388
-3987.820985,891,56.719282
-4277.584727,1121,57.392544
25.246904,340,57.660803
-1137.182695,414,57.922356
-3705.595905,897,58.390739
-566.444135,420,58.923743
-4179.450086,1297,59.544736
-4823.406052,1480,60.32374
31.659551,414,60.595678
-3260.369133,2657,61.944443
88.484845,340,62.253554
-1201.716628,1045,62.814609
-1163.165282,340,63.0595
-1346.893413,414,63.552873
-1500.706934,1119,64.126431
-4300.28219,1188,64.934455
-1926.156755,414,65.240233
-58.348711,340,65.483558
-1248.936801,340,65.755858
-3793.26432,840,66.478808
-1400.26824,414,66.752032
97.475207,340,67.001518
14.364229,340,67.240716
-4393.801084,1248,68.210197
-652.657145,415,68.479819
-1988.642628,1085,69.232643
125.520024,340,69.528132
-398.74331,414,69.778757
255.714212,411,70.034973
442.881915,420,70.288711
-33.922667,340,70.52662
-79.287508,340,71.000848
-4143.653204,2261,72.120888
125.099324,340,72.412318
-1472.770114,414,72.665356
-4768.357831,1115,73.354062
-1196.010587,410,73.761573
-1601.459973,414,74.112976
-3436.231446,1624,75.136646
-3411.35401,961,75.52402
-1377.404162,1368,76.382803
-4206.555621,937,76.780699
29.692093,340,77.477285
-4025.089474,1034,78.001518
-1060.884039,414,78.259125
-1133.370465,413,78.772056
155.110091,414,79.084502
-3863.130522,980,79.591374
-5904.279114,1632,80.396267
40.771488,340,80.636839
-3486.3067,1803,81.508829
-4105.250182,1138,82.174637
-4408.246882,1740,82.939421
-1643.425688,414,83.433936
-1383.975285,414,83.71962
-3089.75016,1082,84.217802
-2615.869286,423,84.692845
-656.460557,963,85.23512
374.193626,414,85.585478
-2244.575695,807,86.340726
-305.052873,340,86.638226
-1528.219997,414,86.900337
1438.919982,1202,87.803104
628.610197,419,88.101713
121.378873,414,88.409546
-3913.392427,1242,89.253697
-1205.507556,340,89.529859
244.007518,414,89.778154
-79.789972,340,90.009948
-2422.875989,1020,90.743332
-41.966644,340,91.012279
-2281.192533,1561,91.901098
-10.730729,340,92.178962
-2136.305765,956,92.661229
-1220.309608,414,92.924455
-2455.947804,414,93.412964
21.030322,340,93.69561
-2874.718533,2620,94.77882
-1842.677996,1426,95.718423
-74.671865,340,95.971431
-4436.753472,1818,96.841962
8.182055,414,97.136545
-2037.497549,1260,97.9371
-1317.982998,340,98.209648
-24.093891,410,98.482511
-924.670605,340,98.736768
36.004159,340,98.981185
60.280688,340,99.219134
-4579.977408,1051,99.96511
3545.162657,2686,101.150136
257.685035,340,101.414783
-3654.154628,771,102.082217
-1560.752098,1495,102.962224
-2715.803417,789,103.424014
-3787.510795,1797,104.42726
-1404.29094,340,104.71185
-1025.90993,441,104.98986
-7566.852127,2681,106.279924
-3070.059356,858,106.808754
394.536148,340,107.066425
237.487838,414,107.345563
-3951.717833,908,107.971188
-2783.888377,2700,109.068414
79.822736,340,109.315591
-2362.376961,974,110.0378
-3925.541911,2006,111.079755
-3694.823111,934,111.573431
-1591.038703,877,112.286355
-2845.685556,1566,112.970651
-3182.088018,2034,113.867062
-5283.307918,1598,114.857534
481.47554,412,115.123165
-3915.404611,1087,115.87738
-827.784134,340,116.156556
121.329468,340,116.404067
-4072.898741,1092,117.160705
29.678301,340,117.417598
-2033.763637,434,117.69938
-3849.425325,2051,118.611833
533.650142,417,118.87642
-2250.720639,1534,119.781143
-1559.965816,1126,120.547023
-1885.553873,1637,121.25387
-1248.135754,414,121.836094
316.792497,414,122.161756
-1479.886228,414,122.478933
-935.531309,414,122.841499
-1133.813085,414,123.720059
-4303.019894,2022,124.934323
-1227.837462,414,125.51203
-4819.715262,1916,126.636168
-1700.297784,414,127.006605
17.011568,340,127.405356
-2420.228942,1209,128.031169
-3400.473861,1769,129.21441
-4001.932315,2699,131.09005
-3923.488128,1119,131.671889
129.910358,414,131.930469
-5559.863997,1765,132.818253
-3593.442891,1124,133.701913
-1070.740812,414,134.000753
-3447.132122,1005,134.774319
-3229.346636,937,135.370308
-2590.303524,1723,136.238614
-2700.056168,969,136.74841
143.194711,340,137.003606
503.748443,948,137.763756
348.814364,423,138.099339
467.389349,427,138.404712
-1213.73597,414,139.069179
-3958.504397,1297,139.693856
-2162.355273,861,140.404757
203.588101,340,140.740997
-393.996564,1497,141.923435
-3038.759432,1135,142.574109
-2318.423371,1056,143.420029
-2559.256111,1313,144.091727
-1505.616983,340,144.352742
124.692896,1350,145.239572
-2690.968097,1059,146.009311
-2923.875115,1207,146.605518
-3570.627844,1399,147.484208
-3794.191482,1578,148.423738
-651.967605,416,148.783587
-3326.887786,782,149.224951
265.12319,340,149.463462
-1200.279955,2394,150.83603
-4364.622899,1498,151.514808
-2148.926494,1391,152.410318
-1321.685189,414,152.683042
487.944553,2356,153.973345
-1206.949354,1543,155.011767
208.0589,340,155.291093
-1207.996294,410,155.548955
350.284231,340,156.051436
-1198.330586,416,156.354934
-33.783739,340,156.620615
-4968.038028,2158,157.567815
-1464.165824,414,157.831657
-2093.718343,1906,158.768686
-3075.134089,730,159.267092
-1154.527458,423,160.00886
-1346.774567,340,160.286033
-3018.019574,808,160.640121
-3292.62273,1028,161.436089
-2179.472383,1291,161.957071
113.713019,340,162.44434
-3300.52586,1787,163.096896
-2023.335099,1104,163.88446
-2532.415724,1195,164.657392
-4475.950635,1992,165.637677
448.52552,420,165.944653
-1765.39353,436,166.211759
-782.009781,1176,167.057261
162.533789,340,167.336892
17.536495,340,167.605238
-1302.938351,902,168.128138
-2735.237921,1407,169.000826
77.08189,340,169.238459
-1451.215825,414,169.495163
130.806774,340,169.723212
-3926.665337,1527,170.619096
86.262918,340,170.856068
-961.177132,340,171.351153
-3836.947957,916,171.956778
-2066.555196,1091,172.851201
-1181.764627,340,173.121386
1311.601737,1262,173.695191
-1147.787721,414,174.234388
146.876084,340,174.533733
-3119.013985,1886,175.515774
-119.241215,1077,176.048372
-2708.180911,950,176.766761
-3514.35835,1425,177.315605
-1785.426725,839,178.01191
-1161.426451,414,178.300437
-2908.669617,1497,179.231418
-3376.196813,1205,179.794569
-2573.900662,795,180.477397
-2775.233467,1306,181.168363
-3330.347441,1550,182.095712
-2176.766426,1372,182.966476
-2098.693119,1062,183.501666
-3396.895791,2700,184.800992
266.850687,340,185.085199
-1273.08184,414,185.355962
-1290.522674,414,185.620062
495.396023,425,185.90759
-3110.179394,830,186.600604
-615.878384,1753,187.59065
81.87333,340,187.856995
501.732142,411,188.103272
-4386.119188,2414,189.088951
-1104.442926,414,189.359213
148.461476,340,189.606846
-7415.762814,2700,190.93276
57.335129,340,191.183877
-4240.443269,1563,192.033918
-2614.524814,810,192.574848
-1444.332401,340,192.875464
-2636.405988,2654,194.295349
-1248.72432,416,194.585442
-3327.818786,2419,195.750158
352.69137,414,196.002727
