#{"t_start": 1761663473.624413, "env_id": "None"}
r,l,t
-429.830537,414,0.639062
-1410.855083,1385,1.161079
-980.366575,1588,2.00068
392.020439,1541,2.785927
-874.55147,1752,3.603313
-332.865494,1212,4.092813
185.085238,428,4.556192
-1313.567716,1009,5.025312
-1257.611218,1469,5.742682
-152.666049,340,5.990893
-415.972086,340,6.235207
-1179.355776,1461,7.056463
-351.11087,414,7.306167
-415.688351,414,7.555892
-1420.260814,1347,8.289144
-957.36607,1542,9.138521
-755.84278,1311,9.657434
-388.688515,1130,10.333604
-1283.205498,1385,11.188212
-486.550088,1435,11.765773
-297.229569,1815,12.621926
-671.491062,1134,13.286034
-920.26009,2111,14.242699
390.156667,1822,15.424783
-351.346131,1653,16.055984
162.666667,414,16.552359
-815.585309,2036,17.488015
-1181.606882,2099,18.481354
-1259.300424,1244,19.023802
-652.524712,2432,20.05745
-1055.250401,2013,21.013986
-828.14101,1378,21.890412
-1075.309682,1337,22.632997
-1072.106714,1476,23.227897
155.306667,340,23.667271
-1127.590963,1632,24.314062
-967.021462,1054,25.009965
-1536.354419,1858,25.773721
-419.214165,414,26.033917
-388.090336,340,26.264112
-992.642703,1778,27.117946
-417.997535,1276,27.867494
-782.084533,1211,28.396719
-1175.422014,903,29.041602
-990.972462,1556,29.64818
-379.061762,2700,31.108126
-835.103129,1477,31.707416
-284.499206,1193,32.416006
-1356.127202,2656,33.541131
150.482381,1387,34.333989
-1545.05778,883,34.75668
-777.558653,1595,35.631107
-1451.119391,2057,36.447239
-1268.324905,926,37.123529
-946.624346,1371,37.697617
-522.525954,1620,38.538293
-1022.194692,2607,39.627567
-1065.842231,1617,40.457553
