#{"t_start": 1761626167.7668889, "env_id": "None"}
r,l,t
-2217.067076,1792,1.61643
-1475.423451,414,2.035375
-4580.854564,1080,2.730747
-3027.113657,1928,3.875516
-4912.164351,1682,4.807207
-136.799728,340,5.158397
396.236512,425,5.54495
25.910657,414,5.948583
-2173.302988,2622,7.241736
-4843.456533,1894,8.221406
-1806.568233,2700,9.490338
-5304.604814,1323,10.322801
30.675383,340,10.699833
-3301.337728,689,11.447812
167.662166,346,11.973916
692.35724,429,12.495694
-1119.35518,418,13.008845
-607.834654,415,13.462777
-5436.496783,1477,14.441143
-1418.55737,420,14.87098
-4467.916908,988,15.538283
-348.286234,340,15.898292
-1115.713775,422,16.286197
-5852.998591,1463,17.288502
-3390.854137,701,17.923104
-6796.159138,1569,19.21151
142.321763,422,19.655186
-281.4023,414,20.237963
265.798658,414,20.641984
-1024.609234,340,21.005425
-5511.925401,2471,22.388145
-232.642492,340,22.933675
-1314.840109,414,23.525993
-1795.020216,340,24.059182
-2300.1679,1906,25.875031
165.467111,340,26.479285
-158.331852,340,27.073903
-4331.069171,1077,28.21101
-5551.228177,1542,29.633322
-147.764761,340,30.212717
-3634.551674,936,31.42129
-224.821896,340,32.14079
-1790.469476,340,32.916906
-3227.8664,574,34.252962
249.116532,414,35.048847
706.186519,424,35.829008
262.85726,414,36.535838
-4142.151323,1095,37.87291
-5548.517277,1910,39.766265
-5808.76874,2397,42.396925
-1778.863027,414,43.163714
-4696.128319,2700,46.511956
-1160.762579,414,47.274206
-1282.377203,414,48.026348
-6801.080048,1963,50.29528
-3861.717299,1052,51.38099
